学校名称,经度_GCJ02,纬度_GCJ02,公园名称,公园类型,公园经度,公园纬度,直线距离_米,步行距离_米,步行时间_秒,是否500m内
海淀区科技园小学（西玉河校区）,116.237922,40.095421,北京亿城大学花草公园,风景名胜;公园广场;公园,116.240280,40.106663,1267,3184,2547,否
海淀区科技园小学（西玉河校区）,116.237922,40.095421,西北旺公园,风景名胜;公园广场;公园,116.253223,40.100362,1414,1478,1182,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,安宁庄公园,风景名胜;公园广场;公园,116.320711,40.049636,668,1087,870,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,快乐成长家庭人口文化园,风景名胜;公园广场;公园,116.309559,40.050644,1045,1869,1495,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,美和园公园,风景名胜;公园广场;公园,116.323264,40.035240,1062,1569,1255,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,上地公园,风景名胜;公园广场;公园,116.310318,40.035061,1195,1849,1479,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,爱之园,风景名胜;公园广场;公园,116.320138,40.030581,1498,2325,1860,否
海淀区第四实验小学,116.210356,39.971946,梵香公园,风景名胜;公园广场;公园,116.207911,39.979681,885,1097,878,否
海淀区第四实验小学,116.210356,39.971946,南旱河公园,风景名胜;公园广场;公园,116.220886,39.973419,913,1524,1219,否
海淀区第四实验小学,116.210356,39.971946,丹青圃公园,风景名胜;公园广场;公园,116.226989,39.975329,1468,2176,1741,否
海淀区第四实验小学,116.210356,39.971946,国家植物园(南园)农事体验园,风景名胜;公园广场;植物园,116.215881,39.987427,1786,2942,2354,否
海淀区第四实验小学,116.210356,39.971946,国家植物园南园-裸子植物区,风景名胜;公园广场;植物园,116.216239,39.988509,1910,2940,2352,否
海淀区翠微小学（东校区）,116.313040,39.911041,儿童科学公园,风景名胜;公园广场;公园,116.311018,39.913670,339,447,358,是
海淀区翠微小学（东校区）,116.313040,39.911041,小天鹅公园,风景名胜;公园广场;公园,116.309335,39.913179,395,471,377,是
海淀区翠微小学（东校区）,116.313040,39.911041,中华世纪坛公园,风景名胜;公园广场;公园,116.321438,39.912497,735,1022,818,否
海淀区翠微小学（东校区）,116.313040,39.911041,玉渊潭牡丹园,风景名胜;公园广场;公园,116.320914,39.914138,755,1251,1001,否
海淀区翠微小学（东校区）,116.313040,39.911041,玉渊潭公园-樱落花谷,风景名胜;公园广场;公园,116.321175,39.914275,782,1164,931,否
海淀区翠微小学（北校区）,116.160566,40.054144,温泉村党建主题公园,风景名胜;公园广场;公园,116.156661,40.053919,333,678,542,是
海淀区翠微小学（北校区）,116.160566,40.054144,公园,风景名胜;公园广场;公园,116.165337,40.060621,827,1340,1072,否
海淀区翠微小学（北校区）,116.160566,40.054144,温泉公园3期,风景名胜;公园广场;公园,116.172660,40.051394,1075,1343,1074,否
海淀区翠微小学（北校区）,116.160566,40.054144,温泉冰雪体育公园(暂停开放),风景名胜;公园广场;公园,116.161471,40.042123,1340,1607,1286,否
海淀区翠微小学（北校区）,116.160566,40.054144,温泉宝盛公园,风景名胜;公园广场;公园,116.175093,40.048134,1407,1650,1320,否
海淀区花园村第二小学,116.318663,39.931298,阜成路口袋公园,风景名胜;公园广场;公园,116.321550,39.924017,847,975,780,否
海淀区花园村第二小学,116.318663,39.931298,紫竹院公园,风景名胜;公园广场;公园,116.319079,39.942352,1231,1787,1430,否
海淀区花园村第二小学,116.318663,39.931298,北洼园,风景名胜;公园广场;公园,116.304305,39.936391,1350,1926,1541,否
海淀区花园村第二小学,116.318663,39.931298,诗情画意文化广场,风景名胜;公园广场;公园,116.311588,39.919281,1467,2216,1773,否
海淀区花园村第二小学,116.318663,39.931298,中塔公园,风景名胜;公园广场;公园,116.308096,39.920538,1499,2262,1810,否
清华大学附属中学上地小学,116.321647,40.016757,荷清园,风景名胜;公园广场;公园,116.325404,40.015724,340,518,414,是
清华大学附属中学上地小学,116.321647,40.016757,北京体育大学-冠军园,风景名胜;公园广场;公园,116.317564,40.021331,616,907,726,否
清华大学附属中学上地小学,116.321647,40.016757,东升八家郊野公园-西区,风景名胜;公园广场;公园,116.333834,40.018488,1056,3631,2905,否
清华大学附属中学上地小学,116.321647,40.016757,清华大学花房,风景名胜;公园广场;植物园,116.321106,40.007092,1076,2297,1838,否
清华大学附属中学上地小学,116.321647,40.016757,东升八家郊野公园南区,风景名胜;公园广场;公园,116.336020,40.014339,1254,3039,2431,否
清华大学附属小学,116.323078,39.995705,清华大学绿园,风景名胜;公园广场;公园,116.318125,40.000783,705,952,762,否
清华大学附属小学,116.323078,39.995705,西水磨公园,风景名胜;公园广场;公园,116.314455,40.003106,1104,1825,1460,否
清华大学附属小学,116.323078,39.995705,北京大学朗润园,风景名胜;公园广场;公园,116.309887,39.998030,1154,2172,1738,否
清华大学附属小学,116.323078,39.995705,中海体育公园,风景名胜;公园广场;公园,116.315203,39.986339,1240,1803,1442,否
清华大学附属小学,116.323078,39.995705,清华大学花房,风景名胜;公园广场;植物园,116.321106,40.007092,1278,1414,1131,否
清华大学附属小学双清苑校区,116.341636,40.010075,逸成体育公园,风景名胜;公园广场;公园,116.345283,40.013625,502,583,466,否
清华大学附属小学双清苑校区,116.341636,40.010075,东升八家郊野公园南区,风景名胜;公园广场;公园,116.336020,40.014339,674,1300,1040,否
清华大学附属小学双清苑校区,116.341636,40.010075,八家口袋公园,风景名胜;公园广场;公园,116.345353,40.018421,981,1158,926,否
清华大学附属小学双清苑校区,116.341636,40.010075,东升八家郊野公园,风景名胜;公园广场;公园,116.336864,40.019354,1110,1625,1300,否
清华大学附属小学双清苑校区,116.341636,40.010075,互动轨道花园,风景名胜;公园广场;公园,116.337828,40.000202,1146,1236,989,否
首都师范大学附属育新学校小学部,116.346589,40.057842,南店公园,风景名胜;公园广场;公园,116.338816,40.063087,882,1303,1042,否
首都师范大学附属育新学校小学部,116.346589,40.057842,新康园社区口袋公园,风景名胜;公园广场;公园,116.350916,40.065250,903,1149,919,否
首都师范大学附属育新学校小学部,116.346589,40.057842,小营公园,风景名胜;公园广场;公园,116.347323,40.043283,1621,2392,1914,否
首都师范大学附属育新学校小学部,116.346589,40.057842,西三旗绿色海岸,风景名胜;公园广场;公园,116.338428,40.043836,1707,2580,2064,否
首都师范大学附属育新学校小学部,116.346589,40.057842,龙域休闲公园,风景名胜;公园广场;公园,116.325832,40.057725,1768,2340,1872,否
中关村第一小学（天秀校区）,116.278907,40.019992,肖家河·绿动天地,风景名胜;公园广场;公园,116.288463,40.018007,844,1404,1123,否
中关村第一小学（天秀校区）,116.278907,40.019992,口袋公园,风景名胜;公园广场;公园,116.266863,40.015384,1147,1770,1416,否
中关村第一小学（天秀校区）,116.278907,40.019992,厢黄旗公园-南区,风景名胜;公园广场;公园,116.292606,40.023708,1239,1559,1247,否
中关村第一小学（天秀校区）,116.278907,40.019992,清河滨水绿廊-清河之源,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.271614,40.010245,1250,1624,1299,否
中关村第一小学（天秀校区）,116.278907,40.019992,厢黄旗公园,风景名胜;公园广场;公园,116.293169,40.022768,1254,1665,1332,否
中关村第二小学科学城北区分校,116.283941,40.067041,雨水湿地,风景名胜;公园广场;公园,116.282719,40.063156,444,651,521,是
中关村第二小学科学城北区分校,116.283941,40.067041,西里北部后厂村公园,风景名胜;公园广场;公园,116.294094,40.066768,865,1364,1091,否
中关村第二小学科学城北区分校,116.283941,40.067041,壹米童趣公园,风景名胜;公园广场;公园,116.290664,40.060085,963,1289,1031,否
中关村第二小学科学城北区分校,116.283941,40.067041,中关村公园西区,风景名胜;公园广场;公园,116.267958,40.058988,1630,1780,1424,否
中关村第二小学科学城北区分校,116.283941,40.067041,龙域社区公园,风景名胜;公园广场;公园,116.304097,40.062914,1777,4235,3388,否
中国人民大学附属小学亮甲店分校（东校区）,116.278568,39.929583,玲珑街心公园,风景名胜;公园广场;公园,116.285752,39.926226,718,964,771,否
中国人民大学附属小学亮甲店分校（东校区）,116.278568,39.929583,西木休闲公园,风景名胜;公园广场;公园,116.270248,39.932183,766,1057,846,否
中国人民大学附属小学亮甲店分校（东校区）,116.278568,39.929583,八里庄休闲园-娱乐园,风景名胜;公园广场;公园,116.288031,39.929326,808,1260,1008,否
中国人民大学附属小学亮甲店分校（东校区）,116.278568,39.929583,京门铁路主题公园,风景名胜;公园广场;公园,116.288440,39.932563,905,1306,1045,否
中国人民大学附属小学亮甲店分校（东校区）,116.278568,39.929583,永建公园,风景名胜;公园广场;公园,116.270185,39.923049,1020,1350,1080,否
中国农业科学院附属小学（学院南路校区）,116.337077,39.960001,铁科院宿舍区中心花园,风景名胜;公园广场;公园,116.342474,39.956124,631,730,584,否
中国农业科学院附属小学（学院南路校区）,116.337077,39.960001,大钟寺体育公园,风景名胜;公园广场;公园,116.338475,39.966210,701,933,746,否
中国农业科学院附属小学（学院南路校区）,116.337077,39.960001,躺碑庙公园,风景名胜;公园广场;公园,116.329102,39.965722,931,1525,1220,否
中国农业科学院附属小学（学院南路校区）,116.337077,39.960001,顺馨园,风景名胜;公园广场;公园,116.338819,39.969219,1036,1292,1034,否
中国农业科学院附属小学（学院南路校区）,116.337077,39.960001,北京交通大学劳动花园,风景名胜;公园广场;公园,116.340985,39.950822,1074,1673,1338,否
五一小学(欧洲公馆校区),116.258444,39.916061,阳光星期八公园,风景名胜;公园广场;公园,116.254489,39.916142,337,552,442,是
五一小学(欧洲公馆校区),116.258444,39.916061,永定路街道街心公园,风景名胜;公园广场;公园,116.260050,39.912451,424,562,450,是
五一小学(欧洲公馆校区),116.258444,39.916061,阜石路南侧绿地公园西区,风景名胜;公园广场;公园,116.256620,39.924045,902,1513,1210,否
五一小学(欧洲公馆校区),116.258444,39.916061,永建公园,风景名胜;公园广场;公园,116.270185,39.923049,1268,2061,1649,否
五一小学(欧洲公馆校区),116.258444,39.916061,北京国际雕塑公园东区,风景名胜;公园广场;公园,116.247986,39.905970,1435,3121,2497,否
北京市八一学校小学部,116.307864,39.978028,海淀区中关村西区精品街区公园,风景名胜;公园广场;公园,116.310612,39.982152,515,718,574,否
北京市八一学校小学部,116.307864,39.978028,中国人民大学中关村校区桃李园,风景名胜;公园广场;公园,116.310031,39.972052,690,1165,932,否
北京市八一学校小学部,116.307864,39.978028,中国人民大学中关村校区牡丹苑,风景名胜;公园广场;公园,116.310732,39.971517,764,1227,982,否
北京市八一学校小学部,116.307864,39.978028,万泉河路红领巾街心花园,风景名胜;公园广场;公园,116.306057,39.970948,803,1099,879,否
北京市八一学校小学部,116.307864,39.978028,中海体育公园,风景名胜;公园广场;公园,116.315203,39.986339,1117,1565,1252,否
北京市海淀区台头小学,116.116220,40.105667,公共文化公园,风景名胜;公园广场;公园,116.137869,40.106558,1845,3181,2545,否
北京市海淀区台头小学,116.116220,40.105667,同泽春园,风景名胜;公园广场;公园,116.141761,40.103154,2192,3123,2498,否
北京市海淀区台头小学,116.116220,40.105667,阳坊劳动公园,风景名胜;公园广场;公园,116.127336,40.125393,2391,2854,2283,否
北京建筑大学附属小学,116.336323,39.935381,五塔寺公园,风景名胜;公园广场;公园,116.329587,39.943299,1052,2036,1629,否
北京建筑大学附属小学,116.336323,39.935381,南长河公园,风景名胜;公园广场;公园,116.350912,39.943514,1539,2027,1622,否
北京建筑大学附属小学,116.336323,39.935381,北营房城市森林公园,风景名胜;公园广场;公园,116.348483,39.924000,1637,2293,1834,否
北京建筑大学附属小学,116.336323,39.935381,紫竹院公园,风景名胜;公园广场;公园,116.319079,39.942352,1663,2136,1709,否
北京建筑大学附属小学,116.336323,39.935381,北京交通大学劳动花园,风景名胜;公园广场;公园,116.340985,39.950822,1764,3401,2721,否
北京理工大学附属小学,116.309196,39.961754,乡园,风景名胜;公园广场;公园,116.316634,39.964787,718,1271,1017,否
北京理工大学附属小学,116.309196,39.961754,中欧友谊花园,风景名胜;公园广场;公园,116.309964,39.953942,872,1240,992,否
北京理工大学附属小学,116.309196,39.961754,北京理工大学中关村校区中心公园,风景名胜;公园广场;公园,116.319043,39.959464,878,1298,1038,否
北京理工大学附属小学,116.309196,39.961754,北京理工大学中心花园,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.319116,39.959538,881,1289,1031,否
北京理工大学附属小学,116.309196,39.961754,万泉河路红领巾街心花园,风景名胜;公园广场;公园,116.306057,39.970948,1057,1314,1051,否
海淀区中关村第二小学华清校区,116.333807,39.990721,京张铁路遗址公园,风景名胜;公园广场;公园,116.338277,39.991769,398,646,517,是
海淀区中关村第二小学华清校区,116.333807,39.990721,凝聚园,风景名胜;公园广场;公园,116.332727,39.983572,801,1015,812,否
海淀区中关村第二小学华清校区,116.333807,39.990721,京张铁路遗址公园一期C区,风景名胜;公园广场;公园,116.339653,39.984760,830,1224,979,否
海淀区中关村第二小学华清校区,116.333807,39.990721,京张铁路遗址公园一期,风景名胜;公园广场;公园,116.339985,39.982588,1047,1305,1044,否
海淀区中关村第二小学华清校区,116.333807,39.990721,互动轨道花园,风景名胜;公园广场;公园,116.337828,40.000202,1109,1262,1010,否
海淀区星火小学,116.366960,39.953309,老舍公园,风景名胜;公园广场;公园,116.366573,39.950771,284,479,383,是
海淀区星火小学,116.366960,39.953309,安康园,风景名胜;公园广场;公园,116.375641,39.952230,750,1212,970,否
海淀区星火小学,116.366960,39.953309,美丽北太,风景名胜;公园广场;公园,116.356421,39.951799,914,1031,825,否
海淀区星火小学,116.366960,39.953309,新街口城市森林公园,风景名胜;公园广场;公园,116.371783,39.941353,1393,1848,1478,否
海淀区星火小学,116.366960,39.953309,德胜公园,风景名胜;公园广场;公园,116.382413,39.948445,1425,1978,1582,否
海淀区民族小学（北校区）,116.374100,39.979995,小公园(龙翔路),风景名胜;公园广场;公园,116.375724,39.981235,195,347,278,是
海淀区民族小学（北校区）,116.374100,39.979995,祁家豁子城市森林公园,风景名胜;公园广场;公园,116.379037,39.982406,499,808,646,是
海淀区民族小学（北校区）,116.374100,39.979995,北极寺公园,风景名胜;公园广场;公园,116.377065,39.985717,685,1360,1088,否
海淀区民族小学（北校区）,116.374100,39.979995,元土城遗址公园,风景名胜;公园广场;公园,116.366139,39.975799,824,1274,1019,否
海淀区民族小学（北校区）,116.374100,39.979995,马甸公园儿童区,风景名胜;公园广场;公园,116.379766,39.973625,858,1535,1228,否
海淀区民族小学（南校区）,116.376189,39.972505,马甸公园儿童区,风景名胜;公园广场;公园,116.379766,39.973625,329,518,414,是
海淀区民族小学（南校区）,116.376189,39.972505,玫瑰公园,风景名胜;公园广场;公园,116.381903,39.970333,544,1089,871,否
海淀区民族小学（南校区）,116.376189,39.972505,双秀公园,风景名胜;公园广场;公园,116.374824,39.966275,703,1103,882,否
海淀区民族小学（南校区）,116.376189,39.972505,元土城遗址公园,风景名胜;公园广场;公园,116.366139,39.975799,932,1694,1355,否
海淀区民族小学（南校区）,116.376189,39.972505,小公园(龙翔路),风景名胜;公园广场;公园,116.375724,39.981235,972,1522,1218,否
海淀区第三实验小学（南校区）,116.344147,39.991419,樱花园,风景名胜;公园广场;公园,116.346506,39.993888,340,855,684,是
海淀区第三实验小学（南校区）,116.344147,39.991419,京张铁路遗址公园,风景名胜;公园广场;公园,116.338277,39.991769,502,799,639,否
海淀区第三实验小学（南校区）,116.344147,39.991419,京张铁路遗址公园一期C区,风景名胜;公园广场;公园,116.339653,39.984760,834,1471,1177,否
海淀区第三实验小学（南校区）,116.344147,39.991419,北语万国驿文明互鉴列车主题文化公园,风景名胜;公园广场;公园,116.352732,39.995278,848,1258,1006,否
海淀区第三实验小学（南校区）,116.344147,39.991419,北京航空航天大学学院路校区绿园,风景名胜;公园广场;公园,116.346097,39.983883,855,1959,1567,否
海淀区第二实验小学（清宁校区）,116.335064,40.041478,碧水风荷公园,风景名胜;公园广场;公园,116.338535,40.039813,349,1261,1009,是
海淀区第二实验小学（清宁校区）,116.335064,40.041478,西三旗绿色海岸,风景名胜;公园广场;公园,116.338428,40.043836,388,1845,1476,是
海淀区第二实验小学（清宁校区）,116.335064,40.041478,清河翠谷,风景名胜;公园广场;公园,116.342376,40.036698,819,1409,1127,否
海淀区第二实验小学（清宁校区）,116.335064,40.041478,清河燕清体育文化公园,风景名胜;公园广场;公园,116.338954,40.034543,840,1164,931,否
海淀区第二实验小学（清宁校区）,116.335064,40.041478,街心公园,风景名胜;公园广场;公园,116.332721,40.034093,846,1393,1114,否
海淀区翠微小学（白家疃校区）,116.175367,40.041421,温泉镇街角公园,风景名胜;公园广场;公园,116.177937,40.046681,625,1283,1026,否
海淀区翠微小学（白家疃校区）,116.175367,40.041421,白家疃公园,风景名胜;公园广场;公园,116.183093,40.044563,745,1030,824,否
海淀区翠微小学（白家疃校区）,116.175367,40.041421,温泉宝盛公园,风景名胜;公园广场;公园,116.175093,40.048134,747,963,770,否
海淀区翠微小学（白家疃校区）,116.175367,40.041421,温泉儿童生态体验园,风景名胜;公园广场;公园,116.186779,40.042394,978,1325,1060,否
海淀区翠微小学（白家疃校区）,116.175367,40.041421,白家疃景观休闲园,风景名胜;公园广场;公园,116.176742,40.032372,1014,1272,1018,否
海淀区西苑小学,116.293648,39.992682,亮丽园,风景名胜;公园广场;公园,116.292820,39.997167,504,731,585,否
海淀区西苑小学,116.293648,39.992682,AI未来公园,风景名胜;公园广场;公园,116.295218,39.986945,652,1266,1013,否
海淀区西苑小学,116.293648,39.992682,海淀公园,风景名胜;公园广场;公园,116.295122,39.986416,708,1309,1047,否
海淀区西苑小学,116.293648,39.992682,一亩园公园,风景名胜;公园广场;公园,116.295340,39.999459,768,1023,818,否
海淀区西苑小学,116.293648,39.992682,海淀公园(西南门),风景名胜;公园广场;公园,116.291817,39.983903,989,1397,1118,否
海淀区西颐小学,116.313115,39.965102,乡园,风景名胜;公园广场;公园,116.316634,39.964787,302,969,775,是
海淀区西颐小学,116.313115,39.965102,中国人民大学中关村校区牡丹苑,风景名胜;公园广场;公园,116.310732,39.971517,742,1647,1318,否
海淀区西颐小学,116.313115,39.965102,北京理工大学中心花园,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.319116,39.959538,803,1403,1122,否
海淀区西颐小学,116.313115,39.965102,北京理工大学中关村校区中心公园,风景名胜;公园广场;公园,116.319043,39.959464,806,1412,1130,否
海淀区西颐小学,116.313115,39.965102,中国人民大学中关村校区桃李园,风景名胜;公园广场;公园,116.310031,39.972052,817,1709,1367,否
首都师范大学附属小学,116.270987,39.942124,美丽园小区公园,风景名胜;公园广场;公园,116.279898,39.939100,831,1359,1087,否
首都师范大学附属小学,116.270987,39.942124,西木休闲公园,风景名胜;公园广场;公园,116.270248,39.932183,1108,1524,1219,否
首都师范大学附属小学,116.270987,39.942124,五福玲珑公园,风景名胜;公园广场;公园,116.287733,39.940499,1440,1953,1562,否
首都师范大学附属小学,116.270987,39.942124,西冉城市生态公园,风景名胜;公园广场;公园,116.260262,39.953757,1585,2429,1943,否
首都师范大学附属小学,116.270987,39.942124,口袋公园,风景名胜;公园广场;公园,116.260047,39.929446,1692,2504,2003,否
中关村第一小学西二旗分校,116.310869,40.050128,快乐成长家庭人口文化园,风景名胜;公园广场;公园,116.309559,40.050644,125,358,286,是
中关村第一小学西二旗分校,116.310869,40.050128,安宁庄公园,风景名胜;公园广场;公园,116.320711,40.049636,840,1136,909,否
中关村第一小学西二旗分校,116.310869,40.050128,龙域休闲公园,风景名胜;公园广场;公园,116.325832,40.057725,1529,1834,1467,否
中关村第一小学西二旗分校,116.310869,40.050128,龙域社区公园,风景名胜;公园广场;公园,116.304097,40.062914,1535,1901,1521,否
中关村第一小学西二旗分校,116.310869,40.050128,上地公园,风景名胜;公园广场;公园,116.310318,40.035061,1677,2686,2149,否
中国人民大学附属小学,116.277947,39.965328,融乐公园,风景名胜;公园广场;公园,116.278086,39.964165,129,206,165,是
中国人民大学附属小学,116.277947,39.965328,融乐公园-曙光文化广场公园,风景名胜;公园广场;公园,116.278713,39.964214,140,270,216,是
中国人民大学附属小学,116.277947,39.965328,蓝靛厂公园,风景名胜;公园广场;公园,116.276269,39.963825,220,271,217,是
中国人民大学附属小学,116.277947,39.965328,四季青公园,风景名胜;公园广场;公园,116.286969,39.968545,848,1193,954,否
中国人民大学附属小学,116.277947,39.965328,金源娱乐园,风景名胜;公园广场;公园,116.289666,39.964430,1004,1420,1136,否
中国人民大学附属小学亮甲店分校（西校区）,116.272415,39.933084,西木休闲公园,风景名胜;公园广场;公园,116.270248,39.932183,210,395,316,是
中国人民大学附属小学亮甲店分校（西校区）,116.272415,39.933084,美丽园小区公园,风景名胜;公园广场;公园,116.279898,39.939100,925,1354,1083,否
中国人民大学附属小学亮甲店分校（西校区）,116.272415,39.933084,口袋公园,风景名胜;公园广场;公园,116.260047,39.929446,1130,2003,1602,否
中国人民大学附属小学亮甲店分校（西校区）,116.272415,39.933084,永建公园,风景名胜;公园广场;公园,116.270185,39.923049,1133,1663,1330,否
中国人民大学附属小学亮甲店分校（西校区）,116.272415,39.933084,京门铁路主题公园,风景名胜;公园广场;公园,116.288440,39.932563,1369,1592,1274,否
中国农业大学附属实验小学,116.353544,40.003487,清华东路带状公园,风景名胜;公园广场;公园,116.346842,40.000486,661,911,729,否
中国农业大学附属实验小学,116.353544,40.003487,清华东路带状公园-东王庄小区公园,风景名胜;公园广场;公园,116.346826,40.000503,662,910,728,否
中国农业大学附属实验小学,116.353544,40.003487,北语万国驿文明互鉴列车主题文化公园,风景名胜;公园广场;公园,116.352732,39.995278,916,984,787,否
中国农业大学附属实验小学,116.353544,40.003487,青年园,风景名胜;公园广场;公园,116.360903,39.996100,1034,1575,1260,否
中国农业大学附属实验小学,116.353544,40.003487,喜鹊山公园,风景名胜;公园广场;公园,116.356594,40.014039,1203,1722,1378,否
中国农业科学院附属小学（农科院校区）,116.328527,39.957735,北京理工大学中心花园,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.319116,39.959538,827,1058,846,否
中国农业科学院附属小学（农科院校区）,116.328527,39.957735,北京理工大学中关村校区中心公园,风景名胜;公园广场;公园,116.319043,39.959464,831,1050,840,否
中国农业科学院附属小学（农科院校区）,116.328527,39.957735,躺碑庙公园,风景名胜;公园广场;公园,116.329102,39.965722,890,1282,1026,否
中国农业科学院附属小学（农科院校区）,116.328527,39.957735,铁科院宿舍区中心花园,风景名胜;公园广场;公园,116.342474,39.956124,1203,1470,1176,否
中国农业科学院附属小学（农科院校区）,116.328527,39.957735,大钟寺体育公园,风景名胜;公园广场;公园,116.338475,39.966210,1269,1990,1592,否
北京交通大学附属小学（北校区）,116.342287,39.953910,铁科院宿舍区中心花园,风景名胜;公园广场;公园,116.342474,39.956124,247,1277,1022,是
北京交通大学附属小学（北校区）,116.342287,39.953910,北京交通大学芳华园,风景名胜;公园广场;公园,116.343578,39.951291,311,617,494,是
北京交通大学附属小学（北校区）,116.342287,39.953910,北京交通大学劳动花园,风景名胜;公园广场;公园,116.340985,39.950822,361,502,402,是
北京交通大学附属小学（北校区）,116.342287,39.953910,美丽北太,风景名胜;公园广场;公园,116.356421,39.951799,1228,2416,1933,否
北京交通大学附属小学（北校区）,116.342287,39.953910,南长河公园,风景名胜;公园广场;公园,116.350912,39.943514,1371,1773,1418,否
北京医科大学附属小学（花园路校区）,116.364053,39.985232,北京大学学院路校区中心花园,风景名胜;公园广场;公园,116.356422,39.984139,662,1715,1372,否
北京医科大学附属小学（花园路校区）,116.364053,39.985232,元土城遗址公园,风景名胜;公园广场;公园,116.366139,39.975799,1065,1220,976,否
北京医科大学附属小学（花园路校区）,116.364053,39.985232,小公园(龙翔路),风景名胜;公园广场;公园,116.375724,39.981235,1090,1570,1256,否
北京医科大学附属小学（花园路校区）,116.364053,39.985232,北极寺公园,风景名胜;公园广场;公园,116.377065,39.985717,1111,1883,1506,否
北京医科大学附属小学（花园路校区）,116.364053,39.985232,青年园,风景名胜;公园广场;公园,116.360903,39.996100,1239,1693,1354,否
北京外国语大学附属小学（魏公村校区）,116.317908,39.953607,文园(民族大学西路),风景名胜;公园广场;公园,116.315518,39.949635,486,586,469,是
北京外国语大学附属小学（魏公村校区）,116.317908,39.953607,北京理工大学中关村校区中心公园,风景名胜;公园广场;公园,116.319043,39.959464,659,1069,855,否
北京外国语大学附属小学（魏公村校区）,116.317908,39.953607,北京理工大学中心花园,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.319116,39.959538,668,1077,862,否
北京外国语大学附属小学（魏公村校区）,116.317908,39.953607,中欧友谊花园,风景名胜;公园广场;公园,116.309964,39.953942,678,1390,1112,否
北京外国语大学附属小学（魏公村校区）,116.317908,39.953607,乡园,风景名胜;公园广场;公园,116.316634,39.964787,1249,2244,1795,否
北京大学附属小学（肖家河分校）,116.288057,40.020662,肖家河·绿动天地,风景名胜;公园广场;公园,116.288463,40.018007,297,564,451,是
北京大学附属小学（肖家河分校）,116.288057,40.020662,厢黄旗公园,风景名胜;公园广场;公园,116.293169,40.022768,494,1177,942,是
北京大学附属小学（肖家河分校）,116.288057,40.020662,厢黄旗公园-南区,风景名胜;公园广场;公园,116.292606,40.023708,515,1283,1026,否
北京大学附属小学（肖家河分校）,116.288057,40.020662,肖家河公园,风景名胜;公园广场;公园,116.296949,40.016448,891,3085,2468,否
北京大学附属小学（肖家河分校）,116.288057,40.020662,清河滨水绿廊,风景名胜;公园广场;公园,116.303850,40.017261,1398,3190,2552,否
北京市海淀区万泉小学（北校区）,116.302029,39.970449,万泉河路红领巾街心花园,风景名胜;公园广场;公园,116.306057,39.970948,348,867,694,是
北京市海淀区万泉小学（北校区）,116.302029,39.970449,中国人民大学中关村校区桃李园,风景名胜;公园广场;公园,116.310031,39.972052,705,1432,1146,否
北京市海淀区万泉小学（北校区）,116.302029,39.970449,中国人民大学中关村校区牡丹苑,风景名胜;公园广场;公园,116.310732,39.971517,751,1370,1096,否
北京市海淀区万泉小学（北校区）,116.302029,39.970449,长春健身园,风景名胜;公园广场;公园,116.292310,39.964813,1039,1435,1148,否
北京市海淀区万泉小学（北校区）,116.302029,39.970449,金源娱乐园,风景名胜;公园广场;公园,116.289666,39.964430,1249,2668,2134,否
